,Unnamed: 0,beer_name,brewery_name,beer_style,beer_abv,main_style,cluster,avg_review_overall_p_style_p_group,avg_review_aroma_p_style_p_group,avg_review_appearance_p_style_p_group,avg_review_palate_p_style_p_group,avg_review_taste_p_style_p_group,total_reviews_per_style_by_cluster,total_reviews_by_cluster,avg_review_overall_p_beer_p_style_p_group,avg_review_aroma_p_beer_p_style_p_group,avg_review_appearance_p_beer_p_style_p_group,avg_review_palate_p_beer_p_style_p_group,avg_review_taste_p_beer_p_style_p_group,total_reviews_per_beer_per_style_by_cluster,full_total_styles,full_total_beers,review_overall_per_group_full,review_appearance_per_group_full,review_palate_per_group_full,review_taste_per_group_full,review_aroma_per_group_full,full_total_groups,image_url,main_style_cluster_count,sub_style_cluster_count,total_users_in_cluster
13,13,Bourbon County Brand Vanilla Stout,Goose Island Beer Co.,American Double / Imperial Stout,13.0,Stouts,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,5.0,5.0,5.0,5.0,5.0,1.0,166797,306,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/53980.jpg,142.0,43.0,480
14,14,Brandy Barrel Aged Dark Lord With Vanilla Beans,Three Floyds Brewing Co. & Brewpub,Russian Imperial Stout,15.0,Stouts,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,5.0,5.0,5.0,4.5,5.0,1.0,166797,28,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,http://4.bp.blogspot.com/--yURNJF_-nU/UE0QWlVumLI/AAAAAAAABRs/KClf_qyj-WM/s1600/IMG_1447.JPG,142.0,42.0,480
15,15,Brooklyn Intensified Coffee Stout,Brooklyn Brewery,American Double / Imperial Stout,8.0,Stouts,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,5.0,5.0,5.0,5.0,5.0,1.0,166797,72,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://brooklynbrewery.com/system/beers/60_shelf_Intensified-BigBottle-LR_original.png?1442434546,142.0,43.0,480
16,16,Cantillon Bruocsella (1900) Grand Cru,Brasserie Cantillon,Lambic - Unblended,5.0,Wild/Sour Beers,0.0,4.19,4.11,4.07,4.11,4.16,99.0,3104.0,5.0,4.0,4.5,4.0,5.0,1.0,32378,243,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/2559.jpg,63.0,2.0,480
17,17,"Carnegie Porter 5,5%",Carlsberg Sverige AB,Baltic Porter,5.5,Porters,0.0,3.81,3.79,4.06,3.79,3.84,70.0,3104.0,5.0,5.0,5.0,5.0,5.0,1.0,67373,303,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/755.jpg,48.0,5.0,480
18,18,Cascade Kriek Ale,Cascade Brewing / Raccoon Lodge & Brewpub,Flanders Red Ale,7.1,Wild/Sour Beers,0.0,4.19,4.11,4.07,4.11,4.16,99.0,3104.0,5.0,5.0,4.0,5.0,5.0,1.0,32378,184,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://images.ctfassets.net/qe08557i7rmu/VVZVhCgAAFRvjDV6/4c804c0773bdd4dbf6861cd287032390/121e581b5fd7ea3b81166202a25db5b31a1f19cd_cascade-kriek-img_8349.jpg?w=900,63.0,15.0,480
19,19,Cuir,The Bruery,Old Ale,14.5,Strong Ales,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,4.5,5.0,5.0,5.0,1.0,207116,135,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/68772.jpg,338.0,26.0,480
20,20,Cuvee Series One (Oak Aged Series),Southern Tier Brewing Company,American Strong Ale,11.0,Strong Ales,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,4.0,4.5,4.5,5.0,1.0,207116,212,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/43739.jpg,338.0,39.0,480
21,21,Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Russian Imperial Stout,14.0,Stouts,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,5.0,4.5,4.5,5.0,5.0,1.0,166797,88,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/60426.jpg,142.0,42.0,480
22,22,Dominion Oak Barrel Stout,Old Dominion Brewing Company,American Stout,6.1,Stouts,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,5.0,4.0,3.5,4.5,5.0,1.0,166797,601,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/1192.jpg,142.0,16.0,480
